feature,importance
reduced_rumination,0.027901861797695986
weight_loss,0.025411231259328947
dehydration,0.024447736375930763
diarrhoea,0.021576860269156097
highly_diarrhoea,0.021017933560319897
reduction_milk_vields,0.01999428138231826
lethargy,0.019793828450651085
swelling,0.019371084332643167
abdominal_pain,0.019346977639090424
ulcers,0.01906063037726941
dysentery,0.018439866564043502
pain,0.018054067834025765
anaemia,0.017658874710610745
mild_diarrhoea,0.016927659701700477
anorexia,0.016293107397762636
Condemnation_of_livers,0.015248388518642499
moaning,0.014808560521643366
acetone,0.014783142664682308
torticollis,0.014782615529146555
reduced_fertility,0.014686707252452856
rapid_breathing,0.01401340628378829
reduces_feed_intake,0.013902893477610812
rumenstasis,0.013834666347083626
photo_sensitization,0.013529046358215446
raised_breathing,0.013361713472009144
depression,0.013320741232508034
ketosis,0.013050285363636192
milk_fever,0.012970921767181513
jaundice,0.012765538456705876
weakness,0.01274755197028255
quivering_lips,0.012718350646945889
colic,0.012366313123831255
shallow_breathing,0.012241272871093202
diffculty_breath,0.011922625943632878
pneumonia,0.0118368273563603
lameness,0.011657866327941755
frothing,0.011315420430378873
stomach_pain,0.011288315013185765
loss_of_appetite,0.01124983782389615
discomfort,0.010914464773844284
blood_poisoning,0.010826585365498293
high_temp,0.010634948829860519
painful_tongue,0.010573063892983908
anxiety,0.010344216673835168
coughing,0.010121832593099886
high_pulse_rate,0.010080357189205915
blisters,0.010018165625782768
arthrogyposis,0.009934956181393834
dyspnea,0.009380038636481288
vomiting,0.00916689120020842
aggression,0.00899181748897065
blood_loss,0.008912326688336171
gaseous_stomach,0.008783706263359498
unwillingness_to_move,0.008723277886271367
dull,0.008655219056509624
salivation,0.008628658714547672
fever,0.00844311138181255
abortions,0.008424904156522688
tachycardia,0.008058703381502923
intermittent_fever,0.007985155430470505
high_proportion,0.00783671400544623
drooling,0.0076990344539722535
emaciation,0.007652833945482709
swollen_pharyngeal,0.007622067701236609
saliva,0.007359818660577943
lacrimation,0.007312469380419345
oedema,0.007167096171831175
nausea,0.0071458656438323975
nasel_discharges,0.0070140295767508855
mucosal_lesions,0.0069815537496866744
conjunctivae,0.0069663135288544915
milk_watery,0.006956129889658053
reduced_fat,0.0068060346118405
decreased_fertility,0.006582094589467242
frothing_of_mouth,0.006456068428023842
bellowing,0.006232881305383383
swollen_tongue,0.00606690377883307
lack_of-coordination,0.0059898115067360345
hydrocephalus,0.005883215636550678
udder_swelling,0.005726120230772947
milk_flakes,0.0052771135807272605
udder_redness,0.004563957698500151
hyperaemia,0.004341886206922468
udder_pain,0.0042517740813939366
ankylosis,0.004073745893860702
infertility,0.003937488198768224
stillbirths,0.0035325370073820738
milk_clots,0.0032360809947320343
udder_heat,0.0030360654732954975
udder_hardeness,0.003020167444825938
isolation_from_herd,0.0024434331009909912
facial_paralysis,0.00234680621265551
encephalitis,0.001180475494688683
